h_m,r_m,rel_az_deg,tilt_deg,convergence_angle_deg,subject_pos_name,mpjpe_mm,mpjpe_aligned_mm,registration_offset_mm,pck30,pck50,detection_coverage,joint_visibility_cam_a,joint_visibility_cam_b,joint_visibility_either,joint_visibility_both,unique_contribution_cam_b,jitter_variance,id_drops
1.5,1.5,90,18.43494882292201,59.99999999999999,center,435.91534466200824,147.10844792035462,397.7975930217669,0.022110069694784906,0.08753905311223263,1.0,1.0,1.0,1.0,1.0,0.0,459856.1138452067,18.0
1.5,1.5,120,18.43494882292201,75.52248781407006,center,494.6040877763435,143.10354744067314,457.3795395841251,0.027416770518070146,0.09049908017328348,1.0,1.0,1.0,1.0,0.9333333333333333,0.0,738845.7739190586,19.0
1.5,2.0,60,14.036243467926479,47.15635695640366,center,434.4163933162066,123.13426656721136,415.8845468319255,0.016774891774891776,0.08086820586820587,1.0,1.0,1.0,1.0,1.0,0.0,813877.6300209339,18.0
1.5,1.5,60,18.43494882292201,41.40962210927084,center,352.61452662663584,182.74449016346134,324.1766178035999,0.020327429858194874,0.0865437283184225,1.0,1.0,1.0,1.0,1.0,0.0,510664.58396724437,18.0
1.5,1.5,90,18.43494882292201,59.99999999999999,center,568.897393304235,176.30959097503643,571.0621288143636,0.01933365758754864,0.08961575875486381,1.0,1.0,1.0,1.0,1.0,0.0,1358206.0807985265,18.0
1.5,1.5,120,18.43494882292201,75.52248781407006,center,405.9713486789854,151.21229552581948,381.8003748150468,0.02774614969736921,0.09780068316653683,1.0,1.0,1.0,1.0,0.9333333333333333,0.0,502365.7053528227,15.0
1.5,2.0,60,14.036243467926479,47.15635695640366,center,269.44041001201714,131.55363639904516,245.85031281007076,0.01641025641025641,0.08760180995475113,1.0,1.0,1.0,1.0,1.0,0.0,196861.3214414337,16.0
1.5,2.0,90,14.036243467926479,68.89980397590698,center,206.04955929956807,121.323640087478,184.63468947012421,0.021810649445595225,0.1008285609845254,1.0,1.0,1.0,1.0,1.0,0.0,105622.67461219715,8.0
1.5,2.0,120,14.036243467926479,87.70755722404411,center,167.2093762055462,124.02445469746216,127.56212381436599,0.02727881629422152,0.1078974608780369,1.0,1.0,1.0,1.0,0.9333333333333333,0.0,37004.56518896394,5.0
1.5,2.5,60,11.309932474020215,50.776067601399546,center,232.634493802122,110.75240103138772,201.01589148294494,0.017423442449841606,0.09984747154757714,1.0,1.0,1.0,1.0,1.0,0.0,320710.3152130588,11.0
1.5,2.5,90,11.309932474020215,74.65052298299187,center,148.79732202103202,88.20983906188336,119.19569615901847,0.022792349100904823,0.10743328370175238,1.0,1.0,1.0,1.0,1.0,0.0,38628.779645052455,9.0
1.5,2.5,120,11.309932474020215,95.90856184597654,center,254.82792910644426,103.38137499684147,226.27402393521487,0.028143127907644592,0.10246395956579174,1.0,1.0,1.0,1.0,1.0,0.0,245883.0426998371,17.0
1.5,3.0,60,9.462322208025617,53.13010235415597,center,182.16248180128625,67.89747587691973,161.5187739693881,0.020798811496485915,0.11347922975829952,1.0,1.0,1.0,1.0,1.0,0.0,196163.42183531437,6.0
1.5,3.0,90,9.462322208025617,78.46304096718453,center,139.4430706002503,70.45540823217753,117.52585218454382,0.01994840928632846,0.10214961306964747,1.0,1.0,1.0,1.0,1.0,0.0,78117.04603524119,16.0
1.5,3.0,120,9.462322208025617,101.53695903281547,center,131.38295357830322,74.40814958241995,107.7662557256819,0.02864985417738892,0.10979584834448447,1.0,1.0,1.0,1.0,1.0,0.0,8650.689158171685,4.0
1.5,3.5,60,8.130102354155978,54.71905223641757,center,100.48753034309972,55.52746206823851,81.30341703492776,0.015565092989985693,0.10157367668097282,1.0,1.0,1.0,1.0,1.0,0.0,2235.3160893096406,5.0
1.5,3.5,90,8.130102354155978,81.07320417895299,center,115.63923311746494,60.2686998979075,97.59438758179371,0.019527469399373755,0.10253344719612867,1.0,1.0,1.0,1.0,1.0,0.0,4376.700690637812,0.0
1.5,3.5,120,8.130102354155978,105.5001785669987,center,134.8438510291846,70.6234064749434,116.32400021113716,0.021768707482993196,0.09308390022675737,1.0,1.0,1.0,1.0,1.0,0.0,6521.323625998245,0.0
1.5,4.0,60,7.125016348901798,55.83044367242729,center,97.32208791840873,59.44755715486446,75.93379255198201,0.0189419795221843,0.11422070534698521,1.0,1.0,1.0,1.0,1.0,0.0,3558.799109752726,17.0
1.5,4.0,90,7.125016348901798,82.91811830971423,center,114.65530853656091,62.197913476122736,97.12579708132029,0.014954337899543379,0.08698630136986302,1.0,1.0,1.0,1.0,1.0,0.0,4623.8452521586305,0.0
1.5,4.5,60,6.340191745909909,56.63298703076825,center,97.36984380880727,61.022494549344714,75.45488772178932,0.020212460522538042,0.11754234855010048,1.0,1.0,1.0,1.0,1.0,0.0,3684.540456356948,0.0
1.5,4.5,90,6.340191745909909,84.26082952273322,center,115.9910039218094,62.23147562434325,97.368757150211,0.013572854291417165,0.08474479612204164,1.0,1.0,1.0,1.0,1.0,0.0,7471.415702954606,2.0
1.5,4.5,120,6.340191745909909,110.48731511472266,center,144.09398956623627,70.40293273990957,127.60901412471281,0.020936170212765958,0.09849645390070921,1.0,1.0,1.0,1.0,1.0,0.0,8602.80588326451,0.0
1.5,5.0,60,5.710593137499643,57.228883359680886,center,101.00442360603098,64.77847905320614,77.00977516606277,0.021163120567375886,0.1094468085106383,1.0,1.0,1.0,1.0,1.0,0.0,4190.840221844332,0.0
1.5,5.0,90,5.710593137499643,85.26376375432812,center,122.17799025381665,66.56978555399205,101.58817899033068,0.015283718277730254,0.0887368120901055,1.0,1.0,1.0,1.0,1.0,0.0,4932.566572402137,17.0
1.5,5.0,120,5.710593137499643,112.0952091427793,center,147.82581521025526,73.24839396389258,131.6997772742931,0.01632277717110179,0.077763089832749,1.0,1.0,1.0,1.0,1.0,0.0,9175.588242786558,0.0
2.0,1.5,60,33.690067525979785,34.91520624744419,center,551.3243529394583,203.41208673476888,512.9968543074818,0.016809665557695676,0.08346465884550283,1.0,1.0,1.0,1.0,0.8666666666666667,0.0,1080844.6265366548,19.0
2.0,1.5,90,33.690067525979785,50.20818050044277,center,442.0816916386277,161.38902804183954,404.6282841861748,0.017245317496573778,0.08365692096847875,1.0,1.0,1.0,1.0,1.0,0.0,807657.4871312435,18.0
2.0,1.5,120,33.690067525979785,62.612892497346095,center,326.4150748049455,164.63095736822459,283.35698143761095,0.03454513625488709,0.10789519752582133,1.0,1.0,1.0,1.0,1.0,0.0,426232.1385036785,12.0
2.0,1.5,150,33.690067525979785,70.83856930212471,center,329.41995952747357,129.00952515607773,291.4817625535995,0.03137142857142857,0.10542857142857143,1.0,1.0,1.0,1.0,1.0,0.0,523137.1336326664,13.0
2.0,1.5,180,33.690067525979785,73.73979529168804,center,207.97678486910215,112.56652123618956,173.26131220391468,0.02903831919375961,0.10169105505893071,1.0,1.0,1.0,1.0,0.8666666666666667,0.0,89726.76803457501,12.0
2.0,2.0,60,26.56505117707799,41.40962210927087,center,224.71604053725878,139.79707015230724,195.92134255993022,0.016937232608568248,0.09107425423430815,1.0,1.0,1.0,1.0,1.0,0.0,124983.53484898512,9.0
2.0,2.0,90,26.56505117707799,60.00000000000001,center,288.90775838014133,154.79637138223825,245.24084143680173,0.02620617841027421,0.11303945389332408,1.0,1.0,1.0,1.0,1.0,0.0,240320.23256970255,19.0
2.0,2.0,120,26.56505117707799,75.52248781407008,center,222.53239097896613,125.01994257242848,188.46509826462437,0.03693433240899168,0.1233111097999882,1.0,1.0,1.0,1.0,1.0,0.0,237534.69816973901,15.0
2.0,2.0,150,26.56505117707799,86.15903428374187,center,247.2531724342565,110.05809810117883,213.92834642973133,0.04839365595770639,0.14895718352408063,1.0,1.0,1.0,1.0,0.8666666666666667,0.0,293572.98747818376,12.0
2.0,2.0,180,26.56505117707799,90.0,center,388.2296091978493,118.43688119147015,361.331116005097,0.03901117897890976,0.13760516307479542,1.0,1.0,1.0,1.0,0.6,0.0,593872.9239666692,17.0
2.0,2.5,60,21.80140948635181,45.96306405806085,center,270.70193720763325,88.83860375940928,244.89959761267158,0.016484459962223114,0.0886612100051514,1.0,1.0,1.0,1.0,1.0,0.0,434740.2925490734,17.0
2.0,2.5,90,21.80140948635181,67.03032342765592,center,200.59503231026167,103.41618022585897,170.12134114082968,0.021732962605685753,0.10843783691766441,1.0,1.0,1.0,1.0,1.0,0.0,165280.65873148385,20.0
2.0,2.5,120,21.80140948635181,85.10293679227723,center,134.76465538400436,92.40491838154357,105.69897986668727,0.037520391517128875,0.12735958983919832,1.0,1.0,1.0,1.0,1.0,0.0,26583.63681843319,10.0
2.0,2.5,150,21.80140948635181,97.92173991239194,center,151.78334365389182,81.89042683566294,124.41329309702621,0.05015258824206829,0.15114873035066506,1.0,1.0,1.0,1.0,0.8,0.0,81340.33938468597,8.0
2.0,3.0,60,18.43494882292201,49.16778297253094,center,164.93914068087713,71.67726245646465,143.55623329068916,0.018140068886337544,0.10866819747416763,1.0,1.0,1.0,1.0,1.0,0.0,158372.11007684932,15.0
2.0,3.0,90,18.43494882292201,72.07978686060771,center,107.43476686792671,61.651188493742595,87.88063190293987,0.021210230817217717,0.10894345828843645,1.0,1.0,1.0,1.0,1.0,0.0,5594.169625859836,1.0
2.0,3.0,120,18.43494882292201,92.20422750397204,center,120.69801470764378,68.27864750206548,99.76250172345284,0.0332881967953058,0.11899119837508464,1.0,1.0,1.0,1.0,1.0,0.0,6394.717003085281,3.0
2.0,3.0,150,18.43494882292201,106.9695684757849,center,108.50529438893504,62.85194524448506,88.68698998961881,0.04980363139620923,0.16005464169844613,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,5022.925528977337,2.0
2.0,3.5,60,15.945395900922854,51.45882249174225,center,101.10078574584429,58.58023191293717,81.24443062459873,0.015476190476190477,0.09733560090702947,1.0,1.0,1.0,1.0,1.0,0.0,4523.262312473114,13.0
2.0,3.5,90,15.945395900922854,75.7499673021964,center,107.28983323080574,58.27721779304535,89.72846101043524,0.018367346938775512,0.10306122448979592,1.0,1.0,1.0,1.0,1.0,0.0,3545.809346759286,4.0
2.0,3.5,120,15.945395900922854,97.51404546890747,center,120.30332247882085,64.34969794520312,103.54571778650522,0.02798283261802575,0.10763948497854077,1.0,1.0,1.0,1.0,1.0,0.0,4953.003092163716,0.0
2.0,4.0,60,14.036243467926479,53.13010235415599,center,95.29688527587984,55.7683767569965,75.53704575216548,0.01757197641806422,0.11481884265354016,1.0,1.0,1.0,1.0,1.0,0.0,3838.758905194066,1.0
2.0,4.0,90,14.036243467926479,78.46304096718453,center,111.62742715511926,59.045162384526904,94.47130135363349,0.016057648660916933,0.09396277802995914,1.0,1.0,1.0,1.0,1.0,0.0,3812.8385488397103,0.0
2.0,4.0,120,14.036243467926479,101.53695903281547,center,119.93408408918627,61.290279602123675,105.59679377862751,0.02693716539870386,0.1071287686672302,1.0,1.0,1.0,1.0,1.0,0.0,4061.729632382114,0.0
2.0,4.5,60,12.528807709151511,54.37524459680167,center,93.34965036936826,58.16266137770497,71.65599343307291,0.019707207207207207,0.12105855855855856,1.0,1.0,1.0,1.0,1.0,0.0,4106.136915228794,13.0
2.0,4.5,90,12.528807709151511,80.5057599520959,center,111.12139835436324,61.409909645462015,93.31286978337181,0.014643874643874644,0.09213675213675214,1.0,1.0,1.0,1.0,1.0,0.0,4243.44388823155,3.0
2.0,4.5,120,12.528807709151511,104.63007725190404,center,125.58207171505181,60.126686706133036,111.52257656349772,0.02426284751474305,0.1071609098567818,1.0,1.0,1.0,1.0,1.0,0.0,4470.226140540706,17.0
2.0,5.0,60,11.309932474020215,55.32188041333616,center,95.78753492088681,60.17666639820844,73.6894139943258,0.019292237442922376,0.1125,1.0,1.0,1.0,1.0,1.0,0.0,2899.2320158808934,1.0
2.0,5.0,90,11.309932474020215,82.07185823379778,center,113.48148285103271,64.53476364066873,93.2928906897703,0.014151747655583974,0.08689968741119636,1.0,1.0,1.0,1.0,1.0,0.0,7071.738326505759,2.0
2.0,5.0,120,11.309932474020215,107.0438466150983,center,129.3877713110943,60.8235422718246,115.36466404146059,0.022805338138408696,0.09741539501098034,1.0,1.0,1.0,1.0,1.0,0.0,4412.734436379382,1.0
2.5,2.0,60,36.86989764584402,36.40152052906664,center,255.28203885474954,136.41523279404797,225.88582300287686,0.015218375198008598,0.09278117221090744,1.0,1.0,1.0,1.0,0.8666666666666667,0.0,251224.81845504645,17.0
2.5,2.0,90,36.86989764584402,52.42813068030234,center,249.99618296092996,137.14458807823416,219.81237569341906,0.02732919254658385,0.12789384528514963,1.0,1.0,1.0,1.0,1.0,0.0,368776.4581047281,16.0
2.5,2.0,120,36.86989764584402,65.50372094882177,center,314.7279385745734,130.8375392514509,273.9548426211525,0.0413986013986014,0.13851748251748253,1.0,1.0,1.0,1.0,1.0,0.0,602718.9319905752,23.0
2.5,2.0,150,36.86989764584402,74.22889435253646,center,184.30234624369294,108.79278841152657,151.53424262222828,0.0568476910917918,0.1708253358925144,1.0,1.0,1.0,1.0,1.0,0.0,143002.6931660398,16.0
2.5,2.0,180,36.86989764584402,77.31961650818018,center,249.3783770189775,104.61065151660226,216.0323343636894,0.0508097278646558,0.1670655016973677,1.0,1.0,1.0,1.0,1.0,0.0,303892.21580700605,19.0
2.5,2.5,60,30.96375653207352,41.40962210927087,center,139.95700152936882,100.85223321644254,112.36309374427869,0.015957146884691287,0.10121229207781224,1.0,1.0,1.0,1.0,1.0,0.0,48491.6478270858,13.0
2.5,2.5,90,30.96375653207352,60.00000000000001,center,131.86760058146524,87.98690523106181,98.88885801182454,0.02099781622711238,0.11137241726860407,1.0,1.0,1.0,1.0,1.0,0.0,25875.03756720752,13.0
2.5,2.5,120,30.96375653207352,75.52248781407008,center,159.92755511655565,87.74054884182708,131.60446604835852,0.04331807524840907,0.14932455063079156,1.0,1.0,1.0,1.0,1.0,0.0,102255.76278603595,15.0
2.5,2.5,150,30.96375653207352,86.15903428374189,center,117.57700321912506,75.76131249540947,93.41561483190083,0.06839729119638827,0.20660270880361173,1.0,1.0,1.0,1.0,1.0,0.0,48775.286005464855,8.0
2.5,2.5,180,30.96375653207352,90.0,center,103.31443048122851,67.22643419142942,81.51465084456834,0.06247894914112496,0.20034804086673402,1.0,1.0,1.0,1.0,1.0,0.0,7543.034598216013,6.0
2.5,3.0,60,26.56505117707799,45.17707757596975,center,110.86930747555748,69.16291670149866,86.82347513865072,0.013165266106442577,0.08464985994397758,1.0,1.0,1.0,1.0,1.0,0.0,9511.18335974328,9.0
2.5,3.0,90,26.56505117707799,65.80546288570928,center,100.01723919693099,62.055658153124725,80.23380477812589,0.024873407155973512,0.13482833453897947,1.0,1.0,1.0,1.0,1.0,0.0,5640.898236897172,3.0
2.5,3.0,120,26.56505117707799,83.41055797302093,center,112.87626908241617,67.89829219636903,93.28694925758766,0.03940415964024733,0.1503653738055087,1.0,1.0,1.0,1.0,1.0,0.0,7303.110171703672,11.0
2.5,3.0,150,26.56505117707799,95.81178297924637,center,97.95231436964606,54.73846622917726,82.16542261053587,0.06543520850825636,0.20095158130422613,1.0,1.0,1.0,1.0,1.0,0.0,4044.4871644473046,1.0
2.5,3.0,180,26.56505117707799,100.38885781546962,center,88.06064756209742,52.50724235755823,72.45553294916328,0.06997476871320438,0.21553125876086346,1.0,1.0,1.0,1.0,0.8,0.0,2510.2259343014202,4.0
2.5,3.5,60,23.198590513648185,48.01631881379589,center,113.12565466410942,62.3251108095002,90.08647446992909,0.016830847171404446,0.1039121868843231,1.0,1.0,1.0,1.0,1.0,0.0,39770.04510172608,7.0
2.5,3.5,90,23.198590513648185,70.25480189943846,center,99.57799471100964,57.32836524480721,81.73158147502147,0.02240943555181129,0.12103341757933164,1.0,1.0,1.0,1.0,1.0,0.0,3346.334776748204,3.0
2.5,3.5,120,23.198590513648185,89.61286340889626,center,109.58413858603186,64.88189288766782,92.98644282317787,0.038465851743860045,0.1442189077043849,1.0,1.0,1.0,1.0,1.0,0.0,8125.851257663919,1.0
2.5,3.5,150,23.198590513648185,103.6276663859337,center,95.67715246552245,52.11580478429599,80.5278893167381,0.05971739374229001,0.18145116070427272,1.0,1.0,1.0,1.0,0.9333333333333333,0.0,2507.952461835466,0.0
2.5,4.0,60,20.556045219583467,50.174658857227705,center,96.01956755579766,55.52423511990033,77.11061673355606,0.015697085630696522,0.10099021041971419,1.0,1.0,1.0,1.0,1.0,0.0,1821.4548416113125,7.0
2.5,4.0,90,20.556045219583467,73.68614022272233,center,102.14221894599797,57.488191329989704,84.93590201253527,0.019063638912251192,0.10927950658816933,1.0,1.0,1.0,1.0,1.0,0.0,3215.0366911928536,3.0
2.5,4.0,120,20.556045219583467,94.51106878031649,center,109.23967471084806,58.61226413906962,94.42548109950432,0.03504633529907329,0.1276046054479079,1.0,1.0,1.0,1.0,1.0,0.0,3917.9333110961265,1.0
2.5,4.0,150,20.556045219583467,109.99029470647366,center,99.11165718771692,54.015684645928175,83.27013560056878,0.05458650860852385,0.16731583403895003,1.0,1.0,1.0,1.0,0.8666666666666667,0.0,2736.774357335873,0.0
2.5,4.5,60,18.43494882292201,51.83526956247374,center,98.13530999152388,55.9805873610982,79.42317307036842,0.015792442188381276,0.09830795262267343,1.0,1.0,1.0,1.0,1.0,0.0,2027.3087718408012,17.0
2.5,4.5,90,18.43494882292201,76.3583229709878,center,102.16193261368846,58.101194851263756,84.99869702485356,0.0200278940027894,0.11163179916317992,1.0,1.0,1.0,1.0,1.0,0.0,3166.775232967201,0.0
2.5,4.5,120,18.43494882292201,98.40830462026815,center,116.4577366944976,57.70354882073354,102.47364234674397,0.029977628635346757,0.11717002237136466,1.0,1.0,1.0,1.0,1.0,0.0,3897.749074329771,8.0
